"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 00:11:01 IST 2024","Fri Feb 16 00:11:01 IST 2024","0","testcases","test_016_screenshot","Test_016_ss","","","test_016_sum",""
"passed","Fri Feb 16 00:10:26 IST 2024","Fri Feb 16 00:11:01 IST 2024","35049","testcases","test_016_screenshot","Test_016_ss","","","test_016_screenshot",""
